MMSI,Latitude,Longitude,COG,SOG,Time
212487000,51.9245,1.3358,266.0,13.7,20/11/2018 15:23:47.634
370581000,52.2488,2.507,169.0,0.1,20/11/2018 15:23:48.323
352231000,51.05,2.3122,303.3,0.0,20/11/2018 15:23:48.542
235105835,52.0077,1.1928,278.6,0.0,20/11/2018 15:23:49.118
257206000,51.4591,0.3515,93.0,0.1,20/11/2018 15:23:49.442
232000790,51.4481,0.3396,238.4,0.0,20/11/2018 15:23:50.537
235077715,51.0718,1.7262,300.1,10.3,20/11/2018 15:23:51.241
257082000,51.3267,2.3631,69.7,3.6,20/11/2018 15:23:51.242
226183000,51.1131,1.7298,25.6,2.3,20/11/2018 15:23:51.243
235102691,52.4756,1.7296,266.8,0.0,20/11/2018 15:23:51.416
235114568,51.3297,1.4226,226.2,0.0,20/11/2018 15:23:51.544
351783000,50.7883,1.0311,233.6,15.6,20/11/2018 15:23:51.919
210620000,52.5602,1.8786,192.1,0.8,20/11/2018 15:23:52.154
232005975,52.4759,1.7574,236.9,0.0,20/11/2018 15:23:52.156
309186000,51.455,0.354,193.3,0.0,20/11/2018 15:23:52.386
232003580,51.469,1.4358,281.3,7.8,20/11/2018 15:23:52.592
305996000,51.4491,0.3354,273.2,0.0,20/11/2018 15:23:53.361
232016572,52.0079,1.1928,360.0,0.0,20/11/2018 15:23:53.362
235103431,51.2301,2.9369,0.0,0.0,20/11/2018 15:23:53.385
351895000,50.7756,0.8705,232.1,8.3,20/11/2018 15:23:53.568
227141900,51.0946,1.7294,32.0,1.6,20/11/2018 15:23:53.628
566839000,51.4595,1.9307,208.3,11.1,20/11/2018 15:23:53.630
232007977,52.4758,1.7578,258.1,0.0,20/11/2018 15:23:53.691
210819000,51.6437,1.3816,52.0,14.7,20/11/2018 15:23:54.001
235086068,51.3296,1.4215,330.8,0.1,20/11/2018 15:23:54.050
000012388,52.0464,1.1625,183.3,0.1,20/11/2018 15:23:54.111
305786000,51.4588,0.3487,53.8,0.0,20/11/2018 15:23:54.180
235102028,52.4757,1.7236,174.2,0.0,20/11/2018 15:23:54.243
